"crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
0.008216,23.4,3.003,0,0.6994,8.5475,84.76,5.317,1.3,384.8,19.89,515.97,6.474,31.2
0.035503,0,9.191,0,0.6097,8.3473,102.57,6.45723,2.6,314.6,23.14,515.97,11.882,28.08
0.035477,0,9.191,0,0.6097,9.3405,79.43,6.45723,2.6,314.6,23.14,510.679,5.239,45.11
0.042081,0,2.834,0,0.5954,9.0974,59.54,7.88086,3.9,288.6,24.31,513.019,3.822,43.42
0.089765,0,2.834,0,0.5954,9.2911,70.46,7.88086,3.9,288.6,24.31,515.97,6.929,47.06
0.038805,0,2.834,0,0.5954,8.359,76.31,7.88086,3.9,288.6,24.31,512.356,6.773,37.31
0.114777,16.25,10.231,0,0.6812,7.8156,86.58,7.22865,6.5,404.3,19.76,514.28,16.159,29.77
0.187915,16.25,10.231,0,0.6812,8.0236,124.93,7.73565,6.5,404.3,19.76,515.97,24.895,35.23
0.274612,16.25,10.231,0,0.6812,7.3203,130,7.90673,6.5,404.3,19.76,502.619,38.909,21.45
0.221052,16.25,10.231,0,0.6812,7.8052,111.67,8.56973,6.5,404.3,19.76,502.723,22.23,24.57
0.292357,16.25,10.231,0,0.6812,8.2901,122.59,8.25071,6.5,404.3,19.76,510.276,26.585,19.5
0.152711,16.25,10.231,0,0.6812,7.8117,107.77,8.09471,6.5,404.3,19.76,515.97,17.251,24.57
0.121914,16.25,10.231,0,0.6812,7.6557,50.7,7.08617,6.5,404.3,19.76,507.65,20.423,28.21
0.818688,0,10.582,0,0.6994,7.7337,80.34,6.11975,5.2,399.1,27.3,515.97,10.738,26.52
0.829348,0,10.582,0,0.6994,7.9248,109.85,5.80047,5.2,399.1,27.3,494.026,13.338,23.66
0.815607,0,10.582,0,0.6994,7.5842,73.45,5.84818,5.2,399.1,27.3,514.306,11.011,25.87
1.370109,0,10.582,0,0.6994,7.7155,38.09,5.84818,5.2,399.1,27.3,502.905,8.554,30.03
1.01946,0,10.582,0,0.6994,7.787,106.21,5.53527,5.2,399.1,27.3,502.775,19.071,22.75
1.043523,0,10.582,0,0.6994,7.0928,47.58,4.93545,5.2,399.1,27.3,375.687,15.197,26.26
0.94354,0,10.582,0,0.6994,7.4451,90.35,4.93545,5.2,399.1,27.3,508.235,14.664,23.66
1.627327,0,10.582,0,0.6994,7.241,127.53,4.93727,5.2,399.1,27.3,489.541,27.326,17.68
1.107652,0,10.582,0,0.6994,7.7545,115.96,5.21599,5.2,399.1,27.3,510.289,17.979,25.48
1.602211,0,10.582,0,0.6994,7.9846,119.21,5.16997,5.2,399.1,27.3,515.97,24.336,19.76
1.284959,0,10.582,0,0.6994,7.5569,130,5.32376,5.2,399.1,27.3,512.902,25.844,18.85
0.975338,0,10.582,0,0.6994,7.7012,122.33,5.71948,5.2,399.1,27.3,512.629,21.19,20.28
1.092702,0,10.582,0,0.6994,7.2787,111.41,5.79098,5.2,399.1,27.3,394.446,21.463,18.07
0.873483,0,10.582,0,0.6994,7.5569,117.39,6.0866,5.2,399.1,27.3,489.944,19.253,21.58
1.242501,0,10.582,0,0.6994,7.8611,115.44,5.78942,5.2,399.1,27.3,398.294,22.464,19.24
1.004887,0,10.582,0,0.6994,8.4435,122.72,5.79111,5.2,399.1,27.3,504.322,16.64,23.92
1.303185,0,10.582,0,0.6994,8.6762,113.49,5.5107,5.2,399.1,27.3,494.299,15.574,27.3
1.470053,0,10.582,0,0.6994,7.4269,122.33,5.5029,5.2,399.1,27.3,468.221,29.38,16.51
1.761136,0,10.582,0,0.6994,7.8936,130,5.4275,5.2,399.1,27.3,489.749,16.952,18.85
1.804387,0,10.582,0,0.6994,7.735,106.6,5.187,5.2,399.1,27.3,302.38,36.023,17.16
1.497236,0,10.582,0,0.6994,7.4113,123.5,4.92336,5.2,399.1,27.3,466.401,23.855,17.03
2.096666,0,10.582,0,0.6994,7.9248,125.97,4.88774,5.2,399.1,27.3,322.803,26.442,17.55
0.083421,0,7.748,0,0.6487,7.7129,88.66,4.36839,6.5,362.7,24.96,515.97,12.584,24.57
0.126672,0,7.748,0,0.6487,7.5933,79.82,4.39127,6.5,362.7,24.96,490.828,14.833,26
0.104182,0,7.748,0,0.6487,7.605,53.95,5.11446,6.5,362.7,24.96,515.97,11.401,27.3
0.227565,0,7.748,0,0.6487,7.7558,39.26,5.00149,6.5,362.7,24.96,511.459,13.169,32.11
